episode,reward
0,0.71
100,-0.04
200,0.725
300,1.335
400,0.865
500,0.895
600,1.085
700,0.655
800,0.96
900,1.495
1000,1.13
1100,1.23
1200,0.955
1300,0.92
1400,1.235
1500,1.31
1600,1.57
1700,1.44
1800,1.755
1900,1.215
2000,1.275
2100,1.535
2200,1.56
2300,1.105
2400,1.125
2500,1.535
2600,1.08
2700,1.225
2800,0.99
2900,1.415
3000,1.08
3100,1.205
3200,1.36
3300,1.515
3400,1.285
3500,0.99
3600,1.415
3700,1.65
3800,1.27
3900,0.875
4000,0.89
4100,1.68
4200,1.455
4300,0.605
4400,1.58
4500,1.29
4600,1.955
4700,1.565
4800,1.415
4900,1.33
5000,1.525
5100,1.53
5200,1.41
5300,1.665
5400,0.825
5500,1.255
5600,1.105
5700,1.61
5800,1.21
5900,1.495
6000,1.015
6100,1.505
6200,1.085
6300,1.085
6400,1.365
6500,1.6
6600,1.19
6700,1.74
6800,1.195
6900,1.21
7000,1.36
7100,0.875
7200,1.25
7300,1.62
7400,1.055
7500,1.28
7600,1.355
7700,1.135
7800,1.245
7900,1.29
8000,0.865
8100,1.145
8200,1.425
8300,0.715
8400,1.205
8500,1.17
8600,1.295
8700,1.105
8800,1.44
8900,1.115
9000,1.205
9100,1.325
9200,1.415
9300,1.015
9400,0.93
9500,0.85
9600,1.67
9700,1.22
9800,1.37
9900,1.45
10000,1.085
10100,1.61
